Folder,Total Pages
E:/workspace/doc,17
E:/workspace/doc\adobe,14
E:/workspace/doc\airflow,7
E:/workspace/doc\others,9
E:/workspace/doc\others\AULA,1
E:/workspace/doc\others\LG,40
E:/workspace/doc\others\여신,193
E:/workspace/doc\sap,52
Total,333
